Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,zh-Hans-CN-CNVER,zh-Hant
2026.01.17-15.20.00,439346,332327,388926,332349,332327,182071,332343,332349,304965,332327,332349,304800,182071,182071,439346,58,235178
2026.02.04-20.41.55,437949,361461,392583,331216,361461,182040,361477,361483,284361,361461,331216,284196,182040,182040,437949,58,234711
2026.02.05-11.08.39,437949,361448,392570,331203,361448,182040,361464,361470,284361,361448,331203,284196,182040,182040,437949,58,234711
2026.02.05-13.08.57,437949,363963,394708,333635,363963,182040,363979,363985,284361,363963,333244,284196,182040,182040,437949,58,236242
2026.03.14-12.21.25,516507,360155,388446,360248,360155,181653,360171,360177,283305,360155,359871,283140,181653,181653,516507,58,234512
2026.03.20-12.09.53,516500,358349,358496,358442,358349,181596,358365,358371,282329,358349,358065,282164,181596,181596,516500,58,234096
2026.03.20-16.16.17,516577,358320,358467,358413,358320,181596,358336,358342,282300,358320,358036,282135,181596,181596,516577,58,234096
2026.03.24-17.12.38,516567,363162,363309,363255,363162,181060,363178,363184,280924,363162,362878,280759,181060,181060,516567,58,238695
2026.03.30-16.16.18,451984,360431,393736,360524,360431,0,360447,360453,0,360431,360147,0,0,0,451984,58,285306
2026.03.30-18.12.56,453530,363723,397100,363816,363723,0,363739,363745,0,363723,363439,0,0,0,453530,76,289024
2026.04.02-14.25.22,454357,363108,437747,363201,363108,0,363124,363130,0,363108,362824,0,0,0,454357,76,437617
2026.04.07-15.12.24,457321,364105,438130,364217,377527,0,364121,364127,0,377527,363840,0,0,0,457321,76,437923
2026.04.07-15.45.53,457326,364110,438135,364222,377532,0,364126,364132,0,377532,363845,0,0,0,457326,76,437928
2026.04.07-17.39.46,457318,365904,440227,366016,379353,0,384021,384016,0,379353,365639,0,0,0,457318,76,440020
2026.04.07-21.15.09,457639,379337,440211,379449,379337,0,384020,384000,0,379337,379072,0,0,0,457639,76,440004
2026.04.08-13.11.01,457858,379193,439503,379305,379193,0,383876,383856,0,379193,378928,0,0,0,457858,76,439296
2026.04.08-17.02.36,457872,417255,441579,379427,417255,0,384025,383998,0,417255,379050,0,0,0,457872,76,439397
2026.04.09-16.16.59,457880,435355,441719,397628,435355,0,400332,400305,0,435355,397251,0,0,0,457880,76,441694
2026.04.09-16.27.47,457880,435376,441725,397637,435376,0,400353,400326,0,435376,397260,0,0,0,457880,76,441634
2026.04.09-17.56.08,457880,435376,441327,397637,435376,0,400353,400326,0,435376,397260,0,0,0,457880,76,441236
2026.04.09-21.18.20,457880,439211,441327,419099,439211,0,406348,406321,0,439211,418722,0,0,0,457880,76,441236
